trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,trip_total,shared_trip_authorized,shared_trip_match,trips_pooled
2024-04-01T00:00:00.000,2024-04-01T00:15:00.000,908,4.91,,1,12.5,2,1.68,16.18,false,false,1
2024-04-01T00:00:00.000,2024-04-01T00:15:00.000,239,1.1069,24,24,5,1,2.01,8.01,false,false,1
2024-04-01T00:00:00.000,2024-04-01T00:00:00.000,310,2.97,76,,10,0,6.23,16.23,false,false,1
2024-04-01T00:00:00.000,2024-04-01T00:15:00.000,205,0.63,41,41,7.5,0,1.23,8.73,false,false,1
2024-04-01T00:00:00.000,2024-04-01T00:30:00.000,1753,16.973,56,6,22.5,3,20.65,46.15,false,false,1
2024-04-01T06:15:00.000,2024-04-01T06:45:00.000,1690,15.2,76,8,32.5,5,8.72,46.22,false,false,1
2024-04-01T06:30:00.000,2024-04-01T07:00:00.000,1814,14.8,76,32,30,4,8.51,42.51,true,false,1
2024-04-01T07:00:00.000,2024-04-01T07:15:00.000,812,3.7,24,32,12.5,2,2.05,16.55,true,true,2
2024-04-01T07:15:00.000,2024-04-01T07:30:00.000,743,2.6,24,8,10,1,2.15,13.15,true,false,1
2024-04-01T07:30:00.000,2024-04-01T08:00:00.000,1318,7.9,22,32,20,3,3.22,26.22,false,false,1
2024-04-01T08:00:00.000,2024-04-01T08:30:00.000,1425,8.2,6,32,20,4,3.31,27.31,true,true,2
2024-04-01T08:15:00.000,2024-04-01T08:45:00.000,1518,7.4,7,32,17.5,0,3.1,20.6,true,false,1
2024-04-01T08:30:00.000,2024-04-01T09:00:00.000,1760,9.1,8,28,22.5,4,3.5,30,true,true,2
2024-04-01T09:00:00.000,2024-04-01T09:30:00.000,1675,10.6,32,76,25,2,9.4,36.4,false,false,1
2024-04-01T10:00:00.000,2024-04-01T10:15:00.000,698,2.1,32,8,10,2,2.0,14,false,false,1
2024-04-01T11:30:00.000,2024-04-01T12:00:00.000,1590,6.9,28,6,17.5,1,2.75,21.25,true,false,1
2024-04-01T12:00:00.000,2024-04-01T12:30:00.000,1450,5.2,32,24,15,2,2.66,19.66,false,false,1
2024-04-01T12:15:00.000,2024-04-01T12:45:00.000,1740,8.4,8,76,25,5,8.65,38.65,false,false,1
2024-04-01T13:00:00.000,2024-04-01T13:15:00.000,760,2.8,24,6,10,1,2.1,13.1,true,true,2
2024-04-01T14:30:00.000,2024-04-01T14:45:00.000,890,3.3,6,8,12.5,2,2.2,16.7,false,false,1
2024-04-01T15:00:00.000,2024-04-01T15:30:00.000,1532,6.1,8,32,17.5,4,2.9,24.4,true,false,1
2024-04-01T15:15:00.000,2024-04-01T15:45:00.000,1680,7.2,24,28,20,3,3.25,26.25,true,true,2
2024-04-01T16:00:00.000,2024-04-01T16:45:00.000,2420,14.5,32,76,32.5,5,10.25,47.75,false,false,1
2024-04-01T16:15:00.000,2024-04-01T16:45:00.000,1860,8.6,32,6,22.5,2,3.85,28.35,true,false,1
2024-04-01T17:00:00.000,2024-04-01T17:30:00.000,1722,7.1,32,24,20,3,3.55,26.55,true,true,2
2024-04-01T17:15:00.000,2024-04-01T18:00:00.000,2510,11.3,8,76,30,4,9.98,43.98,false,false,1
2024-04-01T17:30:00.000,2024-04-01T18:00:00.000,1812,6.2,24,32,17.5,2,3.2,22.7,true,true,2
2024-04-01T18:00:00.000,2024-04-01T18:30:00.000,1605,5.8,6,32,15,2,3.08,20.08,true,false,1
2024-04-01T18:15:00.000,2024-04-01T18:45:00.000,1490,4.6,8,28,15,3,2.75,20.75,false,false,1
2024-04-01T19:00:00.000,2024-04-01T19:30:00.000,1705,8.9,76,32,25,4,8.8,37.8,false,false,1
2024-04-01T20:00:00.000,2024-04-01T20:15:00.000,805,2.4,24,8,10,1,2.11,13.11,true,true,2
2024-04-01T20:15:00.000,2024-04-01T20:45:00.000,1510,6.5,32,6,17.5,2,3.0,22.5,false,false,1
2024-04-01T21:00:00.000,2024-04-01T21:15:00.000,735,2.0,8,32,10,2,2.05,14.05,true,false,1
2024-04-01T21:30:00.000,2024-04-01T22:00:00.000,1430,6.7,32,24,17.5,3,3.1,23.6,true,true,2
2024-04-01T22:00:00.000,2024-04-01T22:30:00.000,1355,5.4,24,6,15,2,2.8,19.8,false,false,1
2024-04-01T23:00:00.000,2024-04-01T23:30:00.000,1788,9.6,32,76,25,3,8.9,36.9,false,false,1
2024-04-02T06:30:00.000,2024-04-02T07:00:00.000,1660,14.1,76,32,30,5,8.65,43.65,false,false,1
2024-04-02T07:00:00.000,2024-04-02T07:15:00.000,810,3.0,24,32,12.5,1,2.1,15.6,true,false,1
2024-04-02T07:15:00.000,2024-04-02T07:45:00.000,1320,6.8,22,8,17.5,2,2.9,22.4,false,false,1
2024-04-02T08:00:00.000,2024-04-02T08:30:00.000,1595,8.0,6,32,20,3,3.25,26.25,true,true,2
2024-04-02T08:15:00.000,2024-04-02T08:45:00.000,1480,7.1,7,32,17.5,1,3.0,21.5,true,false,1
2024-04-02T08:45:00.000,2024-04-02T09:30:00.000,2200,12.6,32,76,32.5,5,9.9,47.4,true,false,1
2024-04-02T12:00:00.000,2024-04-02T12:15:00.000,690,2.2,32,8,10,1,2.05,13.05,false,false,1
2024-04-02T15:30:00.000,2024-04-02T16:00:00.000,1620,7.5,24,28,20,2,3.35,25.35,true,true,2
2024-04-02T16:30:00.000,2024-04-02T17:15:00.000,2485,12.4,32,76,32.5,4,9.85,46.35,false,false,1
2024-04-02T17:00:00.000,2024-04-02T17:30:00.000,1755,6.6,32,24,20,3,3.6,26.6,true,true,2
2024-04-02T18:00:00.000,2024-04-02T18:30:00.000,1600,5.5,8,28,15,3,2.9,20.9,false,false,1
2024-04-02T20:00:00.000,2024-04-02T20:15:00.000,820,2.5,24,8,10,2,2.12,14.12,true,true,2
2024-04-02T22:30:00.000,2024-04-02T23:00:00.000,1505,7.7,32,6,20,2,3.3,25.3,false,false,1
